ProductID,Product
1,AC
2,AIR COOLER
3,AIR DRYER
4,AIR PURIFIER
5,ATTA MAKER
6,CAMERA
7,DESKTOP
8,ENTERTAINMENT
9,FRIDGE
10,FURNITURE
11,HEALTH
12,INVERTER
13,IPAD
14,KITCHEN APPLIANCES
15,LAPTOP
16,LIFECARE
17,LIFESTYLE
18,MICROWAVE
19,MOBILE
20,SPORT
21,TABLET
22,TRAVEL
23,TREATMENT
24,TV
25,WASHING MACHINE
26,WATCH
27,WATER PURIFIER
