UserID,Pur1,Pur2,Pur3,Rec1,Rec2,Rec3,Rec4,Rec5
124.0,4.0,22.0,,26,21,14,17,7
125.0,4.0,23.0,,26,21,14,17,7
126.0,4.0,24.0,,26,21,14,17,7
127.0,4.0,25.0,,26,21,14,17,7
128.0,4.0,26.0,,21,14,17,7,16
129.0,4.0,27.0,,26,21,14,17,7
130.0,5.0,5.0,,26,21,4,17,14
131.0,5.0,6.0,,18,8,13,11,17
132.0,5.0,7.0,,26,21,4,14,17
133.0,5.0,8.0,,6,18,13,10,11
134.0,5.0,9.0,,26,21,4,17,14
135.0,5.0,10.0,,18,13,8,3,16
136.0,5.0,11.0,,26,21,4,17,14
137.0,5.0,12.0,,26,4,21,14,7
138.0,5.0,13.0,,6,18,8,10,17
139.0,5.0,14.0,,26,21,4,17,7
140.0,5.0,15.0,,26,21,4,14,17
141.0,5.0,16.0,,26,21,4,14,17
142.0,5.0,17.0,,26,21,4,14,7
143.0,5.0,18.0,,6,8,10,13,11
144.0,5.0,19.0,,26,21,4,17,14
145.0,5.0,20.0,,26,21,4,14,17
146.0,5.0,21.0,,26,4,14,17,7
147.0,5.0,22.0,,26,21,4,17,14
148.0,5.0,23.0,,26,21,4,17,14
149.0,5.0,24.0,,26,21,4,14,17
150.0,5.0,25.0,,26,21,4,14,17
151.0,5.0,26.0,,21,4,14,17,7
152.0,5.0,27.0,,26,21,4,14,17
153.0,6.0,6.0,,18,8,13,11,5
154.0,6.0,7.0,,18,8,13,11,17
155.0,6.0,8.0,,18,13,11,5,17
156.0,6.0,9.0,,18,8,13,11,17
157.0,6.0,10.0,,18,8,13,11,5
158.0,6.0,11.0,,18,8,13,17,5
159.0,6.0,12.0,,18,8,13,11,5
160.0,6.0,13.0,,18,8,11,17,5
161.0,6.0,14.0,,18,8,13,11,17
162.0,6.0,15.0,,18,8,13,11,5
163.0,6.0,16.0,,18,8,13,11,17
164.0,6.0,17.0,,18,8,13,11,5
165.0,6.0,18.0,,8,13,11,5,17
166.0,6.0,19.0,,18,8,13,11,17
167.0,6.0,20.0,,18,8,13,11,17
168.0,6.0,21.0,,18,8,13,11,17
169.0,6.0,22.0,,18,8,13,11,17
170.0,6.0,23.0,,18,8,13,11,17
171.0,6.0,24.0,,18,8,13,11,5
172.0,6.0,25.0,,18,8,13,11,5
173.0,6.0,26.0,,8,18,13,17,11
174.0,6.0,27.0,,18,8,13,11,17
175.0,7.0,7.0,,26,21,4,14,17
176.0,7.0,8.0,,6,18,13,10,11
177.0,7.0,9.0,,26,21,4,14,17
178.0,7.0,10.0,,18,13,8,3,21
179.0,7.0,11.0,,26,21,4,17,14
180.0,7.0,12.0,,26,4,21,14,17
181.0,7.0,13.0,,6,18,8,17,11
182.0,7.0,14.0,,26,21,4,17,16
183.0,7.0,15.0,,26,21,4,14,17
184.0,7.0,16.0,,26,21,4,14,17
185.0,7.0,17.0,,26,21,4,14,2
186.0,7.0,18.0,,6,8,13,10,11
187.0,7.0,19.0,,26,21,4,14,17
188.0,7.0,20.0,,26,21,4,14,17
189.0,7.0,21.0,,26,4,14,17,16
190.0,7.0,22.0,,26,21,4,14,17
191.0,7.0,23.0,,26,21,4,14,17
192.0,7.0,24.0,,26,21,4,14,17
193.0,7.0,25.0,,26,21,4,14,17
194.0,7.0,26.0,,21,4,14,17,16
195.0,7.0,27.0,,26,21,4,14,17
196.0,8.0,8.0,,6,18,13,10,11
197.0,8.0,9.0,,6,18,13,10,11
198.0,8.0,10.0,,18,13,3,11,2
199.0,8.0,11.0,,6,18,13,10,17
200.0,8.0,12.0,,6,18,13,10,11
201.0,8.0,13.0,,6,18,10,11,5
202.0,8.0,14.0,,6,18,13,10,17
203.0,8.0,15.0,,6,18,13,10,11
204.0,8.0,16.0,,6,18,13,10,11
205.0,8.0,17.0,,6,18,13,10,11
206.0,8.0,18.0,,6,13,10,11,5
207.0,8.0,19.0,,6,18,13,10,11
208.0,8.0,20.0,,6,18,13,10,11
209.0,8.0,21.0,,6,18,13,10,17
210.0,8.0,22.0,,6,18,13,10,11
211.0,8.0,23.0,,6,18,13,10,11
212.0,8.0,24.0,,6,18,13,10,11
213.0,8.0,25.0,,6,18,13,10,11
214.0,8.0,26.0,,6,13,17,18,21
215.0,8.0,27.0,,6,18,13,10,11
216.0,9.0,9.0,,18,14,4,17,25
217.0,9.0,10.0,,18,13,8,3,16
218.0,9.0,11.0,,26,4,21,17,14
219.0,9.0,12.0,,18,20,23,16,22
220.0,9.0,13.0,,6,18,8,10,11
221.0,9.0,14.0,,26,21,4,17,7
222.0,9.0,15.0,,18,10,4,14,12
223.0,9.0,16.0,,26,21,4,14,17
224.0,9.0,17.0,,26,21,4,14,7
225.0,9.0,18.0,,6,8,10,13,11
226.0,9.0,19.0,,26,18,21,4,25
227.0,9.0,20.0,,26,21,4,14,17
228.0,9.0,21.0,,26,4,14,17,7
229.0,9.0,22.0,,26,21,4,14,17
230.0,9.0,23.0,,26,21,4,14,17
231.0,9.0,24.0,,18,26,4,14,8
232.0,9.0,25.0,,18,14,4,26,1
233.0,9.0,26.0,,21,4,14,17,7
234.0,9.0,27.0,,26,21,4,14,17
235.0,10.0,10.0,,18,13,8,3,16
236.0,10.0,11.0,,18,13,8,3,16
237.0,10.0,12.0,,18,8,13,3,16
238.0,10.0,13.0,,18,8,3,11,16
239.0,10.0,14.0,,18,13,8,3,21
240.0,10.0,15.0,,18,13,8,3,16
241.0,10.0,16.0,,18,13,8,3,21
242.0,10.0,17.0,,18,13,8,3,21
243.0,10.0,18.0,,8,13,11,3,5
244.0,10.0,19.0,,18,13,8,3,16
245.0,10.0,20.0,,18,13,8,3,21
246.0,10.0,21.0,,18,13,8,3,16
247.0,10.0,22.0,,18,13,8,3,16
248.0,10.0,23.0,,18,13,8,3,16
249.0,10.0,24.0,,18,13,8,3,16
250.0,10.0,25.0,,18,13,8,3,16
251.0,10.0,26.0,,21,3,14,4,16
252.0,10.0,27.0,,18,13,8,3,21
253.0,11.0,11.0,,26,21,17,4,14
254.0,11.0,12.0,,4,26,21,14,17
255.0,11.0,13.0,,6,18,8,10,17
256.0,11.0,14.0,,26,21,4,17,7
257.0,11.0,15.0,,26,21,4,17,14
258.0,11.0,16.0,,26,21,4,17,14
259.0,11.0,17.0,,26,21,4,14,7
260.0,11.0,18.0,,6,8,13,10,17
261.0,11.0,19.0,,26,21,17,4,14
262.0,11.0,20.0,,26,21,4,17,14
263.0,11.0,21.0,,26,4,14,17,7
264.0,11.0,22.0,,26,21,4,17,14
265.0,11.0,23.0,,26,21,4,17,14
266.0,11.0,24.0,,26,21,4,17,14
267.0,11.0,25.0,,26,21,4,17,14
268.0,11.0,26.0,,21,4,14,17,7
269.0,11.0,27.0,,26,21,4,17,14
270.0,12.0,12.0,,18,20,23,22,16
271.0,12.0,13.0,,18,6,8,10,11
272.0,12.0,14.0,,26,21,4,7,17
273.0,12.0,15.0,,18,20,23,22,27
274.0,12.0,16.0,,26,4,21,14,7
275.0,12.0,17.0,,26,4,21,14,7
276.0,12.0,18.0,,6,8,10,13,11
277.0,12.0,19.0,,18,20,23,22,16
278.0,12.0,20.0,,26,4,21,14,7
279.0,12.0,21.0,,26,4,14,7,17
280.0,12.0,22.0,,26,4,21,14,7
281.0,12.0,23.0,,26,4,21,14,7
282.0,12.0,24.0,,18,20,22,23,27
283.0,12.0,25.0,,18,20,23,22,16
284.0,12.0,26.0,,21,4,14,7,17
285.0,12.0,27.0,,26,4,21,14,7
286.0,13.0,13.0,,6,18,8,10,11
287.0,13.0,14.0,,6,18,8,17,26
288.0,13.0,15.0,,6,18,8,10,11
289.0,13.0,16.0,,6,18,8,10,17
290.0,13.0,17.0,,6,18,8,11,10
291.0,13.0,18.0,,6,8,10,11,5
292.0,13.0,19.0,,6,18,8,10,11
293.0,13.0,20.0,,6,18,8,10,17
294.0,13.0,21.0,,6,18,8,26,17
295.0,13.0,22.0,,6,18,8,10,17
296.0,13.0,23.0,,6,18,8,10,17
297.0,13.0,24.0,,6,18,8,10,11
298.0,13.0,25.0,,6,18,8,10,11
299.0,13.0,26.0,,21,4,17,14,7
300.0,13.0,27.0,,6,18,8,10,17
301.0,14.0,14.0,,26,21,4,17,7
302.0,14.0,15.0,,26,21,4,17,7
303.0,14.0,16.0,,26,21,4,17,7
304.0,14.0,17.0,,26,21,4,7,2
305.0,14.0,18.0,,6,8,10,13,11
306.0,14.0,19.0,,26,21,4,17,7
307.0,14.0,20.0,,26,21,4,17,7
308.0,14.0,21.0,,26,4,17,7,16
309.0,14.0,22.0,,26,21,4,17,7
310.0,14.0,23.0,,26,21,4,17,7
311.0,14.0,24.0,,26,21,4,17,7
312.0,14.0,25.0,,26,21,4,17,7
313.0,14.0,26.0,,21,4,17,7,16
314.0,14.0,27.0,,26,21,4,17,7
315.0,15.0,15.0,,10,13,27,6,12
316.0,15.0,16.0,,26,21,4,14,17
317.0,15.0,17.0,,26,21,4,14,7
318.0,15.0,18.0,,6,8,10,13,11
319.0,15.0,19.0,,26,6,10,13,21
320.0,15.0,20.0,,26,21,4,14,17
321.0,15.0,21.0,,26,4,14,17,7
322.0,15.0,22.0,,26,21,4,14,17
323.0,15.0,23.0,,26,21,4,14,17
324.0,15.0,24.0,,26,18,10,4,13
325.0,15.0,25.0,,18,14,4,10,2
326.0,15.0,26.0,,21,4,14,17,7
327.0,15.0,27.0,,26,21,4,14,17
328.0,16.0,16.0,,26,21,4,14,17
329.0,16.0,17.0,,26,21,4,14,7
330.0,16.0,18.0,,6,8,10,13,11
331.0,16.0,19.0,,26,21,4,14,17
332.0,16.0,20.0,,26,21,4,14,17
333.0,16.0,21.0,,26,4,14,17,7
334.0,16.0,22.0,,26,21,4,14,17
335.0,16.0,23.0,,26,21,4,14,17
336.0,16.0,24.0,,26,21,4,14,17
337.0,16.0,25.0,,26,21,4,14,17
338.0,16.0,26.0,,21,4,14,17,7
339.0,16.0,27.0,,26,21,4,14,17
340.0,17.0,17.0,,26,21,4,14,7
341.0,17.0,18.0,,6,8,13,10,11
342.0,17.0,19.0,,26,21,4,14,7
343.0,17.0,20.0,,26,21,4,14,7
344.0,17.0,21.0,,26,4,14,7,16
345.0,17.0,22.0,,26,21,4,14,7
346.0,17.0,23.0,,26,21,4,14,7
347.0,17.0,24.0,,26,21,4,14,7
348.0,17.0,25.0,,26,21,4,14,7
349.0,17.0,26.0,,21,4,14,7,16
350.0,17.0,27.0,,26,21,4,14,7
351.0,18.0,18.0,,6,8,10,13,11
352.0,18.0,19.0,,6,8,10,13,11
353.0,18.0,20.0,,6,8,10,13,11
354.0,18.0,21.0,,6,8,10,13,11
355.0,18.0,22.0,,6,8,10,13,11
356.0,18.0,23.0,,6,8,10,13,11
357.0,18.0,24.0,,6,8,10,13,11
358.0,18.0,25.0,,6,8,10,13,11
359.0,18.0,26.0,,6,8,13,10,17
360.0,18.0,27.0,,6,8,10,13,11
361.0,19.0,19.0,,26,21,6,10,13
362.0,19.0,20.0,,26,21,4,14,17
363.0,19.0,21.0,,26,4,14,17,7
364.0,19.0,22.0,,26,21,4,14,17
365.0,19.0,23.0,,26,21,4,17,14
366.0,19.0,24.0,,26,8,18,21,6
367.0,19.0,25.0,,26,18,21,8,14
368.0,19.0,26.0,,21,4,14,17,7
369.0,19.0,27.0,,26,21,4,14,17
370.0,20.0,20.0,,26,21,4,14,17
371.0,20.0,21.0,,26,4,14,17,7
372.0,20.0,22.0,,26,21,4,14,17
373.0,20.0,23.0,,26,21,4,14,17
374.0,20.0,24.0,,26,21,4,14,17
375.0,20.0,25.0,,26,21,4,14,17
376.0,20.0,26.0,,21,4,14,17,7
377.0,20.0,27.0,,26,21,4,14,17
378.0,21.0,21.0,,26,4,14,17,7
379.0,21.0,22.0,,26,4,14,17,7
380.0,21.0,23.0,,26,4,14,17,7
381.0,21.0,24.0,,26,4,14,17,7
382.0,21.0,25.0,,26,4,14,17,7
383.0,21.0,26.0,,4,14,17,7,16
384.0,21.0,27.0,,26,4,14,17,7
385.0,22.0,22.0,,26,21,4,14,17
386.0,22.0,23.0,,26,21,4,14,17
387.0,22.0,24.0,,26,21,4,14,17
388.0,22.0,25.0,,26,21,4,14,17
389.0,22.0,26.0,,21,4,14,17,7
390.0,22.0,27.0,,26,21,4,14,17
391.0,23.0,23.0,,26,21,4,14,17
392.0,23.0,24.0,,26,21,4,14,17
393.0,23.0,25.0,,26,21,4,14,17
394.0,23.0,26.0,,21,4,14,17,7
395.0,23.0,27.0,,26,21,4,14,17
396.0,24.0,24.0,,26,8,18,4,7
397.0,24.0,25.0,,18,26,8,14,4
398.0,24.0,26.0,,21,4,14,17,7
399.0,24.0,27.0,,26,21,4,14,17
400.0,25.0,25.0,,18,14,26,4,8
401.0,25.0,26.0,,21,4,14,17,7
402.0,25.0,27.0,,26,21,4,14,17
403.0,26.0,26.0,,21,4,14,17,7
404.0,26.0,27.0,,21,4,14,17,7
405.0,27.0,27.0,,26,21,4,14,17
406.0,1.0,1.0,1.0,14,4,15,27,16
407.0,1.0,1.0,2.0,26,21,4,14,17
408.0,1.0,1.0,3.0,26,21,4,14,17
409.0,1.0,1.0,4.0,26,21,14,17,7
410.0,1.0,1.0,5.0,26,21,4,14,17
411.0,1.0,1.0,6.0,18,8,13,11,17
412.0,1.0,1.0,7.0,26,21,4,14,17
413.0,1.0,1.0,8.0,6,18,13,10,11
414.0,1.0,1.0,9.0,18,14,4,15,25
415.0,1.0,1.0,10.0,18,13,8,3,16
416.0,1.0,1.0,11.0,26,4,21,17,14
417.0,1.0,1.0,12.0,18,20,22,23,16
418.0,1.0,1.0,13.0,6,18,8,10,11
419.0,1.0,1.0,14.0,26,21,4,17,7
